=== Re-evaluation on test set ===

User supplied test set
Relation:     Standardized_blind(1)
Instances:     unknown (yet). Reading incrementally
Attributes:   29

=== Predictions on user test set ===

    inst#     actual  predicted error prediction
     1300        1:?        2:N       0.853 
     1301        1:?        1:P       0.912 
     1302        1:?        2:N       0.806 
     1303        1:?        2:N       0.848 
     1304        1:?        2:N       0.771 
     1305        1:?        2:N       0.946 
     1306        1:?        2:N       0.935 
     1307        1:?        2:N       0.988 
     1308        1:?        2:N       0.945 
     1309        1:?        2:N       0.89 
     1310        1:?        2:N       0.972 
     1311        1:?        2:N       0.979 
     1312        1:?        2:N       0.961 
     1313        1:?        2:N       0.991 
     1314        1:?        1:P       0.893 
     1315        1:?        2:N       0.842 
     1316        1:?        2:N       0.984 
     1317        1:?        2:N       0.553 
     1318        1:?        1:P       0.839 
     1319        1:?        2:N       0.993 
     1320        1:?        2:N       0.978 
     1321        1:?        2:N       0.969 
     1322        1:?        2:N       0.849 
     1323        1:?        2:N       0.866 
     1324        1:?        2:N       0.898 
     1325        1:?        1:P       0.614 
     1326        1:?        2:N       0.995 
     1327        1:?        2:N       0.955 
     1328        1:?        2:N       0.891 
     1329        1:?        1:P       0.782 
     1330        1:?        2:N       0.891 
     1331        1:?        2:N       0.964 
     1332        1:?        2:N       0.991 
     1333        1:?        1:P       0.671 
     1334        1:?        1:P       0.944 
     1335        1:?        2:N       0.59 
     1336        1:?        1:P       0.73 
     1337        1:?        2:N       0.946 
     1338        1:?        2:N       0.867 
     1339        1:?        1:P       0.718 
     1340        1:?        1:P       0.686 
     1341        1:?        2:N       0.995 
     1342        1:?        2:N       0.973 
     1343        1:?        2:N       0.889 
     1344        1:?        2:N       0.753 
     1345        1:?        1:P       0.645 
     1346        1:?        1:P       0.979 
     1347        1:?        2:N       0.993 
     1348        1:?        2:N       0.968 
     1349        1:?        2:N       0.993 
     1350        1:?        2:N       0.761 
     1351        1:?        2:N       0.905 
     1352        1:?        2:N       0.908 
     1353        1:?        2:N       0.943 
     1354        1:?        2:N       0.949 
     1355        1:?        2:N       0.55 
     1356        1:?        2:N       0.993 
     1357        1:?        2:N       0.904 
     1358        1:?        1:P       0.598 
     1359        1:?        2:N       0.981 
     1360        1:?        2:N       0.89 
     1361        1:?        2:N       0.86 
     1362        1:?        2:N       0.699 
     1363        1:?        2:N       0.925 
     1364        1:?        2:N       0.833 
     1365        1:?        2:N       0.994 
     1366        1:?        2:N       0.998 
     1367        1:?        2:N       0.96 
     1368        1:?        2:N       0.858 
     1369        1:?        2:N       0.761 
     1370        1:?        2:N       0.993 
     1371        1:?        1:P       0.718 
     1372        1:?        2:N       0.767 
     1373        1:?        2:N       0.65 
     1374        1:?        2:N       0.77 
     1375        1:?        1:P       0.626 
     1376        1:?        2:N       0.779 
     1377        1:?        2:N       0.996 
     1378        1:?        2:N       0.987 
     1379        1:?        2:N       0.998 
     1380        1:?        1:P       0.859 
     1381        1:?        2:N       0.545 
     1382        1:?        2:N       0.834 
     1383        1:?        2:N       0.937 
     1384        1:?        2:N       0.857 
     1385        1:?        2:N       0.995 
     1386        1:?        2:N       0.582 
     1387        1:?        2:N       0.918 
     1388        1:?        2:N       0.947 
     1389        1:?        2:N       0.797 
     1390        1:?        2:N       0.993 
     1391        1:?        2:N       0.705 
     1392        1:?        2:N       0.992 
     1393        1:?        2:N       0.93 
     1394        1:?        2:N       0.971 
     1395        1:?        2:N       0.652 
     1396        1:?        2:N       0.983 
     1397        1:?        2:N       0.977 
     1398        1:?        2:N       0.954 
     1399        1:?        2:N       0.998 
     1400        1:?        2:N       0.701 
     1401        1:?        2:N       0.853 
     1402        1:?        2:N       0.987 
     1403        1:?        2:N       0.868 
     1404        1:?        2:N       0.911 
     1405        1:?        2:N       0.897 
     1406        1:?        2:N       0.738 
     1407        1:?        1:P       0.895 
     1408        1:?        2:N       0.99 
     1409        1:?        2:N       0.977 
     1410        1:?        1:P       0.926 
     1411        1:?        2:N       0.728 
     1412        1:?        2:N       0.667 
     1413        1:?        2:N       0.695 
     1414        1:?        2:N       0.611 
     1415        1:?        2:N       0.931 
     1416        1:?        2:N       0.989 
     1417        1:?        2:N       0.966 
     1418        1:?        2:N       0.944 
     1419        1:?        2:N       0.937 
     1420        1:?        2:N       0.658 
     1421        1:?        2:N       0.942 
     1422        1:?        2:N       0.988 
     1423        1:?        2:N       0.847 
     1424        1:?        2:N       0.939 
     1425        1:?        2:N       0.988 
     1426        1:?        2:N       0.966 
     1427        1:?        1:P       0.887 
     1428        1:?        2:N       0.962 
     1429        1:?        2:N       0.98 
     1430        1:?        2:N       0.997 
     1431        1:?        2:N       0.791 
     1432        1:?        2:N       0.994 
     1433        1:?        2:N       0.536 
     1434        1:?        1:P       0.559 
     1435        1:?        1:P       0.784 
     1436        1:?        2:N       0.958 
     1437        1:?        2:N       0.747 
     1438        1:?        1:P       0.833 
     1439        1:?        2:N       0.986 
     1440        1:?        2:N       0.977 
     1441        1:?        2:N       0.828 
     1442        1:?        1:P       0.962 
     1443        1:?        2:N       0.911 
     1444        1:?        2:N       0.974 
     1445        1:?        2:N       0.91 
     1446        1:?        2:N       0.583 
     1447        1:?        2:N       0.781 
     1448        1:?        2:N       0.92 
     1449        1:?        2:N       0.689 
     1450        1:?        2:N       0.766 
     1451        1:?        1:P       0.6 
     1452        1:?        2:N       0.866 
     1453        1:?        2:N       0.75 
     1454        1:?        2:N       0.972 
     1455        1:?        2:N       0.97 
     1456        1:?        2:N       0.985 
     1457        1:?        2:N       0.765 
     1458        1:?        2:N       0.734 
     1459        1:?        2:N       0.895 
     1460        1:?        2:N       0.91 
     1461        1:?        1:P       0.582 
     1462        1:?        2:N       0.985 
     1463        1:?        2:N       0.99 
     1464        1:?        2:N       0.992 
     1465        1:?        2:N       0.82 
     1466        1:?        2:N       0.928 
     1467        1:?        2:N       0.983 
     1468        1:?        2:N       0.937 
     1469        1:?        2:N       0.578 
     1470        1:?        2:N       0.837 
     1471        1:?        2:N       0.972 
     1472        1:?        2:N       0.95 
     1473        1:?        2:N       0.963 
     1474        1:?        2:N       0.725 
     1475        1:?        1:P       0.645 
     1476        1:?        1:P       0.649 
     1477        1:?        2:N       0.87 
     1478        1:?        2:N       0.947 
     1479        1:?        2:N       0.829 
     1480        1:?        2:N       0.984 
     1481        1:?        2:N       0.972 
     1482        1:?        2:N       0.887 
     1483        1:?        2:N       0.994 
     1484        1:?        1:P       0.75 
     1485        1:?        2:N       0.976 
     1486        1:?        2:N       0.997 
     1487        1:?        2:N       0.894 
     1488        1:?        2:N       0.754 
     1489        1:?        2:N       0.945 
     1490        1:?        2:N       0.517 
     1491        1:?        2:N       0.742 
     1492        1:?        1:P       0.51 
     1493        1:?        1:P       0.628 
     1494        1:?        2:N       0.758 
     1495        1:?        2:N       0.642 
     1496        1:?        2:N       0.939 
     1497        1:?        2:N       0.973 
     1498        1:?        2:N       0.977 
     1499        1:?        2:N       0.979 
     1500        1:?        2:N       0.873 
     1501        1:?        2:N       0.575 
     1502        1:?        2:N       0.92 
     1503        1:?        2:N       0.765 
     1504        1:?        2:N       0.796 
     1505        1:?        1:P       0.563 
     1506        1:?        2:N       0.932 
     1507        1:?        2:N       0.996 
     1508        1:?        2:N       0.874 
     1509        1:?        1:P       0.974 
     1510        1:?        2:N       0.995 
     1511        1:?        2:N       0.888 
     1512        1:?        2:N       0.507 
     1513        1:?        2:N       0.981 
     1514        1:?        2:N       0.745 
     1515        1:?        1:P       0.82 
     1516        1:?        2:N       0.98 
     1517        1:?        2:N       0.924 
     1518        1:?        1:P       0.928 
     1519        1:?        2:N       0.99 
     1520        1:?        2:N       0.988 
     1521        1:?        2:N       0.727 
     1522        1:?        2:N       0.894 
     1523        1:?        2:N       0.888 
     1524        1:?        2:N       0.932 
     1525        1:?        2:N       0.805 
     1526        1:?        1:P       0.727 
     1527        1:?        2:N       0.942 
     1528        1:?        2:N       0.856 
     1529        1:?        2:N       0.615 
     1530        1:?        2:N       0.764 
     1531        1:?        2:N       0.636 
     1532        1:?        1:P       0.934 
     1533        1:?        2:N       0.623 
     1534        1:?        2:N       0.522 
     1535        1:?        1:P       0.948 
     1536        1:?        2:N       0.552 
     1537        1:?        2:N       0.953 
     1538        1:?        2:N       0.989 
     1539        1:?        2:N       0.71 
     1540        1:?        2:N       0.709 
     1541        1:?        2:N       0.885 
     1542        1:?        1:P       0.943 
     1543        1:?        2:N       0.935 
     1544        1:?        2:N       0.97 
     1545        1:?        1:P       0.527 
     1546        1:?        2:N       0.749 
     1547        1:?        2:N       0.822 
     1548        1:?        2:N       0.945 
     1549        1:?        2:N       0.629 
     1550        1:?        1:P       0.867 
     1551        1:?        2:N       0.787 
     1552        1:?        2:N       0.667 
     1553        1:?        2:N       0.959 
     1554        1:?        2:N       0.784 
     1555        1:?        2:N       0.777 
     1556        1:?        2:N       0.941 
     1557        1:?        1:P       0.557 
     1558        1:?        2:N       0.505 
     1559        1:?        2:N       0.922 
     1560        1:?        1:P       0.569 
     1561        1:?        2:N       0.928 
     1562        1:?        2:N       0.975 
     1563        1:?        1:P       0.915 
     1564        1:?        1:P       0.536 
     1565        1:?        2:N       0.719 
     1566        1:?        2:N       0.819 
     1567        1:?        2:N       0.977 
     1568        1:?        1:P       0.584 
     1569        1:?        2:N       0.994 
     1570        1:?        2:N       0.993 
     1571        1:?        2:N       0.531 
     1572        1:?        2:N       0.78 
     1573        1:?        2:N       0.911 
     1574        1:?        2:N       0.98 
     1575        1:?        2:N       0.997 
     1576        1:?        2:N       0.54 
     1577        1:?        1:P       0.616 
     1578        1:?        2:N       0.882 
     1579        1:?        2:N       0.874 
     1580        1:?        2:N       0.92 
     1581        1:?        2:N       0.868 
     1582        1:?        2:N       0.992 
     1583        1:?        2:N       0.89 
     1584        1:?        2:N       0.991 
     1585        1:?        1:P       0.768 
     1586        1:?        2:N       0.998 
     1587        1:?        1:P       0.543 
     1588        1:?        2:N       0.998 
     1589        1:?        2:N       0.944 
     1590        1:?        2:N       0.945 
     1591        1:?        2:N       0.995 
     1592        1:?        2:N       0.748 
     1593        1:?        1:P       0.668 
     1594        1:?        2:N       0.931 
     1595        1:?        2:N       0.946 
     1596        1:?        2:N       0.967 
     1597        1:?        2:N       0.928 
     1598        1:?        2:N       0.987 
     1599        1:?        2:N       0.775 
     1600        1:?        1:P       0.58 
     1601        1:?        2:N       0.98 
     1602        1:?        2:N       0.821 
     1603        1:?        2:N       0.877 
     1604        1:?        2:N       0.996 
     1605        1:?        2:N       0.616 
     1606        1:?        2:N       0.995 
     1607        1:?        2:N       0.878 
     1608        1:?        2:N       0.949 
     1609        1:?        2:N       0.952 
     1610        1:?        2:N       0.989 
     1611        1:?        2:N       0.594 
     1612        1:?        2:N       0.989 
     1613        1:?        2:N       0.536 
     1614        1:?        2:N       0.895 
     1615        1:?        2:N       0.704 
     1616        1:?        2:N       0.984 
     1617        1:?        1:P       0.564 
     1618        1:?        1:P       0.556 
     1619        1:?        2:N       0.624 
     1620        1:?        1:P       0.913 
     1621        1:?        1:P       0.95 
     1622        1:?        2:N       0.901 
     1623        1:?        2:N       0.964 
     1624        1:?        1:P       0.743 
     1625        1:?        1:P       0.504 
     1626        1:?        2:N       0.924 
     1627        1:?        2:N       0.932 
     1628        1:?        1:P       0.979 
     1629        1:?        2:N       0.556 
     1630        1:?        2:N       0.978 
     1631        1:?        2:N       0.815 
     1632        1:?        2:N       0.934 
     1633        1:?        2:N       0.6 
     1634        1:?        2:N       0.891 
     1635        1:?        2:N       0.808 
     1636        1:?        2:N       0.997 
     1637        1:?        2:N       0.842 
     1638        1:?        2:N       0.678 
     1639        1:?        2:N       0.774 
     1640        1:?        2:N       0.955 
     1641        1:?        1:P       0.785 
     1642        1:?        2:N       0.951 
     1643        1:?        2:N       0.784 
     1644        1:?        2:N       0.933 
     1645        1:?        2:N       0.98 
     1646        1:?        1:P       0.677 
     1647        1:?        2:N       0.642 
     1648        1:?        2:N       0.749 
     1649        1:?        2:N       0.568 
     1650        1:?        1:P       0.574 
     1651        1:?        2:N       0.803 
     1652        1:?        2:N       0.778 
     1653        1:?        2:N       0.925 
     1654        1:?        2:N       0.978 
     1655        1:?        2:N       0.62 
     1656        1:?        2:N       0.995 
     1657        1:?        2:N       0.998 
     1658        1:?        2:N       0.829 
     1659        1:?        2:N       0.974 
     1660        1:?        2:N       0.984 
     1661        1:?        2:N       0.928 
     1662        1:?        2:N       0.77 
     1663        1:?        2:N       0.992 
     1664        1:?        2:N       0.866 
     1665        1:?        2:N       0.678 
     1666        1:?        2:N       0.941 
     1667        1:?        2:N       0.878 
     1668        1:?        2:N       0.672 
     1669        1:?        1:P       0.785 
     1670        1:?        1:P       0.717 
     1671        1:?        2:N       0.978 
     1672        1:?        2:N       0.908 
     1673        1:?        2:N       0.664 
     1674        1:?        2:N       0.957 
     1675        1:?        2:N       0.939 
     1676        1:?        2:N       0.687 
     1677        1:?        2:N       0.941 
     1678        1:?        2:N       0.895 
     1679        1:?        2:N       0.999 
     1680        1:?        2:N       0.722 
     1681        1:?        2:N       0.997 
     1682        1:?        2:N       0.996 
     1683        1:?        2:N       0.899 
     1684        1:?        2:N       0.963 
     1685        1:?        2:N       0.858 
     1686        1:?        1:P       0.573 
     1687        1:?        2:N       0.654 
     1688        1:?        1:P       0.872 
     1689        1:?        2:N       0.98 
     1690        1:?        2:N       0.654 
     1691        1:?        2:N       0.993 
     1692        1:?        2:N       0.866 
     1693        1:?        2:N       0.911 
     1694        1:?        2:N       0.89 
     1695        1:?        2:N       0.949 
     1696        1:?        2:N       0.934 
     1697        1:?        2:N       0.767 
     1698        1:?        2:N       0.742 
     1699        1:?        2:N       0.967 
     1700        1:?        2:N       0.97 
     1701        1:?        2:N       0.989 
     1702        1:?        2:N       0.992 
     1703        1:?        2:N       0.906 
     1704        1:?        2:N       0.928 
     1705        1:?        2:N       0.895 
     1706        1:?        2:N       0.952 
     1707        1:?        2:N       0.524 
     1708        1:?        2:N       0.618 
     1709        1:?        2:N       0.876 
     1710        1:?        2:N       0.977 
     1711        1:?        2:N       0.886 
     1712        1:?        2:N       0.785 
     1713        1:?        2:N       0.585 
     1714        1:?        2:N       0.868 
     1715        1:?        2:N       0.989 
     1716        1:?        2:N       0.954 
     1717        1:?        2:N       0.964 
     1718        1:?        2:N       0.852 
     1719        1:?        2:N       0.983 
     1720        1:?        2:N       0.902 
     1721        1:?        1:P       0.593 
     1722        1:?        2:N       0.986 
     1723        1:?        2:N       0.832 
     1724        1:?        2:N       0.931 
     1725        1:?        2:N       0.915 
     1726        1:?        2:N       0.923 
     1727        1:?        2:N       0.977 
     1728        1:?        2:N       0.893 
     1729        1:?        2:N       0.657 
     1730        1:?        2:N       0.983 
     1731        1:?        2:N       0.96 
     1732        1:?        1:P       0.528 
     1733        1:?        2:N       0.924 
     1734        1:?        2:N       0.632 
     1735        1:?        2:N       0.791 
     1736        1:?        2:N       0.98 
     1737        1:?        2:N       0.987 
     1738        1:?        2:N       0.667 
     1739        1:?        2:N       0.571 
     1740        1:?        2:N       0.785 
     1741        1:?        2:N       0.861 
     1742        1:?        2:N       0.634 
     1743        1:?        2:N       0.839 
     1744        1:?        2:N       0.831 
     1745        1:?        2:N       0.63 
     1746        1:?        2:N       0.971 
     1747        1:?        2:N       0.98 
     1748        1:?        2:N       0.983 
     1749        1:?        2:N       0.9 
     1750        1:?        2:N       0.719 
     1751        1:?        2:N       0.951 
     1752        1:?        2:N       0.998 
     1753        1:?        2:N       0.963 
     1754        1:?        2:N       0.981 
     1755        1:?        2:N       0.948 
     1756        1:?        1:P       0.843 
     1757        1:?        2:N       0.873 
     1758        1:?        1:P       0.745 
     1759        1:?        2:N       0.525 
     1760        1:?        2:N       0.835 
     1761        1:?        2:N       0.896 
     1762        1:?        2:N       0.991 
     1763        1:?        2:N       0.69 
     1764        1:?        1:P       0.575 
     1765        1:?        2:N       0.871 
     1766        1:?        2:N       0.753 
     1767        1:?        2:N       0.981 
     1768        1:?        2:N       0.973 
     1769        1:?        2:N       0.998 
     1770        1:?        2:N       0.926 
     1771        1:?        2:N       0.969 
     1772        1:?        1:P       0.672 
     1773        1:?        2:N       0.978 
     1774        1:?        2:N       0.942 
     1775        1:?        2:N       0.956 
     1776        1:?        2:N       0.964 
     1777        1:?        2:N       0.818 
     1778        1:?        2:N       0.941 
     1779        1:?        2:N       0.996 
     1780        1:?        2:N       0.99 
     1781        1:?        1:P       0.786 
     1782        1:?        2:N       0.917 
     1783        1:?        1:P       0.556 
     1784        1:?        2:N       0.536 
     1785        1:?        2:N       0.999 
     1786        1:?        2:N       0.931 
     1787        1:?        2:N       0.989 
     1788        1:?        2:N       0.993 
     1789        1:?        2:N       0.783 
     1790        1:?        2:N       0.682 
     1791        1:?        2:N       0.96 
     1792        1:?        2:N       0.912 
     1793        1:?        1:P       0.514 
     1794        1:?        2:N       0.973 
     1795        1:?        2:N       0.99 
     1796        1:?        2:N       0.696 
     1797        1:?        2:N       0.641 
     1798        1:?        1:P       0.608 
     1799        1:?        2:N       0.723 
     1800        1:?        2:N       0.92 
     1801        1:?        2:N       0.756 
     1802        1:?        2:N       0.925 
     1803        1:?        2:N       0.697 
     1804        1:?        2:N       0.937 
     1805        1:?        2:N       0.714 
     1806        1:?        2:N       0.999 
     1807        1:?        2:N       0.874 
     1808        1:?        2:N       0.953 
     1809        1:?        2:N       0.603 
     1810        1:?        2:N       0.94 
     1811        1:?        2:N       0.992 
     1812        1:?        2:N       0.979 
     1813        1:?        2:N       0.848 
     1814        1:?        2:N       0.856 
     1815        1:?        2:N       0.99 
     1816        1:?        2:N       0.954 
     1817        1:?        2:N       0.865 
     1818        1:?        2:N       0.96 
     1819        1:?        2:N       0.941 
     1820        1:?        2:N       0.836 
     1821        1:?        2:N       0.779 
     1822        1:?        2:N       0.917 
     1823        1:?        2:N       0.972 
     1824        1:?        2:N       0.957 
     1825        1:?        1:P       0.593 
     1826        1:?        1:P       0.857 
     1827        1:?        2:N       0.778 
     1828        1:?        2:N       0.574 
     1829        1:?        2:N       0.55 
     1830        1:?        1:P       0.802 
     1831        1:?        2:N       0.847 
     1832        1:?        1:P       0.63 
     1833        1:?        2:N       0.987 
     1834        1:?        2:N       0.846 
     1835        1:?        2:N       0.92 
     1836        1:?        2:N       0.528 
     1837        1:?        2:N       0.883 
     1838        1:?        2:N       0.995 
     1839        1:?        2:N       0.887 
     1840        1:?        2:N       0.92 
     1841        1:?        2:N       0.98 
     1842        1:?        2:N       0.976 
     1843        1:?        1:P       0.698 
     1844        1:?        2:N       0.696 
     1845        1:?        2:N       0.97 
     1846        1:?        2:N       0.863 
     1847        1:?        2:N       0.913 
     1848        1:?        1:P       0.92 
     1849        1:?        2:N       0.851 
     1850        1:?        2:N       0.864 
     1851        1:?        2:N       0.702 
     1852        1:?        2:N       0.804 
     1853        1:?        2:N       0.837 
     1854        1:?        2:N       0.99 
     1855        1:?        2:N       0.941 
     1856        1:?        2:N       0.982 
     1857        1:?        2:N       0.944 
     1858        1:?        2:N       0.853 
     1859        1:?        2:N       0.989 
     1860        1:?        2:N       0.657 
     1861        1:?        2:N       0.919 
     1862        1:?        2:N       0.998 
     1863        1:?        2:N       0.98 
     1864        1:?        2:N       0.996 
     1865        1:?        1:P       0.661 
     1866        1:?        2:N       0.617 
     1867        1:?        2:N       0.964 
     1868        1:?        2:N       0.987 
     1869        1:?        2:N       0.974 
     1870        1:?        2:N       0.729 
     1871        1:?        1:P       0.783 
     1872        1:?        1:P       0.637 
     1873        1:?        2:N       0.995 
     1874        1:?        1:P       0.731 
     1875        1:?        2:N       0.973 
     1876        1:?        1:P       0.779 
     1877        1:?        2:N       0.837 
     1878        1:?        2:N       0.999 
     1879        1:?        2:N       0.921 
     1880        1:?        2:N       0.962 
     1881        1:?        1:P       0.548 
     1882        1:?        2:N       0.936 
     1883        1:?        2:N       0.999 
     1884        1:?        2:N       0.549 
     1885        1:?        2:N       0.98 
     1886        1:?        2:N       0.956 
     1887        1:?        2:N       0.971 
     1888        1:?        2:N       0.944 
     1889        1:?        1:P       0.554 
     1890        1:?        2:N       0.923 
     1891        1:?        2:N       0.98 
     1892        1:?        2:N       0.979 
     1893        1:?        2:N       0.992 
     1894        1:?        2:N       0.941 
     1895        1:?        1:P       0.823 
     1896        1:?        2:N       0.83 
     1897        1:?        2:N       0.988 
     1898        1:?        2:N       0.989 
     1899        1:?        2:N       0.988 
     1900        1:?        2:N       0.923 
     1901        1:?        2:N       0.54 
     1902        1:?        2:N       0.804 
     1903        1:?        2:N       0.985 
     1904        1:?        1:P       0.616 
     1905        1:?        2:N       0.932 
     1906        1:?        2:N       0.995 
     1907        1:?        2:N       0.99 
     1908        1:?        1:P       0.648 
     1909        1:?        2:N       0.994 
     1910        1:?        2:N       0.927 
     1911        1:?        2:N       0.982 
     1912        1:?        2:N       0.781 
     1913        1:?        2:N       0.523 
     1914        1:?        2:N       0.942 
     1915        1:?        2:N       0.993 
     1916        1:?        2:N       0.975 
     1917        1:?        2:N       0.996 
     1918        1:?        2:N       0.981 
     1919        1:?        2:N       0.868 
     1920        1:?        2:N       0.985 
     1921        1:?        2:N       0.956 
     1922        1:?        2:N       0.992 
     1923        1:?        1:P       0.872 
     1924        1:?        2:N       0.922 
     1925        1:?        2:N       0.991 
     1926        1:?        2:N       0.973 
     1927        1:?        2:N       0.838 
     1928        1:?        1:P       0.977 
     1929        1:?        2:N       0.674 
     1930        1:?        2:N       0.92 
     1931        1:?        2:N       0.957 
     1932        1:?        2:N       0.842 
     1933        1:?        2:N       0.99 
     1934        1:?        2:N       0.983 
     1935        1:?        2:N       0.986 
     1936        1:?        2:N       0.939 
     1937        1:?        2:N       0.929 
     1938        1:?        2:N       0.984 
     1939        1:?        2:N       0.597 
     1940        1:?        2:N       0.599 
     1941        1:?        2:N       0.972 
     1942        1:?        2:N       0.902 
     1943        1:?        2:N       0.697 
     1944        1:?        2:N       0.978 
     1945        1:?        2:N       0.693 
     1946        1:?        2:N       0.895 
     1947        1:?        2:N       0.77 
     1948        1:?        1:P       0.747 
     1949        1:?        2:N       0.691 
     1950        1:?        2:N       0.917 
     1951        1:?        2:N       0.963 
     1952        1:?        2:N       0.978 
     1953        1:?        1:P       0.886 
     1954        1:?        2:N       0.845 
     1955        1:?        2:N       0.983 
     1956        1:?        2:N       0.964 
     1957        1:?        2:N       0.996 
     1958        1:?        1:P       0.778 
     1959        1:?        2:N       0.853 
     1960        1:?        2:N       0.898 
     1961        1:?        2:N       0.944 
     1962        1:?        2:N       0.995 
     1963        1:?        2:N       0.996 
     1964        1:?        2:N       0.564 
     1965        1:?        1:P       0.74 
     1966        1:?        1:P       0.745 
     1967        1:?        2:N       0.936 
     1968        1:?        2:N       0.987 
     1969        1:?        2:N       0.992 
     1970        1:?        2:N       0.954 
     1971        1:?        2:N       0.572 
     1972        1:?        2:N       0.867 
     1973        1:?        2:N       0.947 
     1974        1:?        2:N       0.977 
     1975        1:?        2:N       0.598 
     1976        1:?        2:N       0.89 
     1977        1:?        2:N       0.565 
     1978        1:?        1:P       0.74 
     1979        1:?        1:P       0.575 
     1980        1:?        2:N       0.521 
     1981        1:?        2:N       0.952 
     1982        1:?        2:N       0.826 
     1983        1:?        2:N       0.993 
     1984        1:?        2:N       0.949 
     1985        1:?        2:N       0.95 
     1986        1:?        2:N       0.654 
     1987        1:?        2:N       0.993 
     1988        1:?        2:N       0.991 
     1989        1:?        2:N       0.985 
     1990        1:?        2:N       0.931 
     1991        1:?        2:N       0.92 
     1992        1:?        1:P       0.718 
     1993        1:?        2:N       0.902 
     1994        1:?        1:P       0.737 
     1995        1:?        1:P       0.804 
     1996        1:?        1:P       0.938 
     1997        1:?        2:N       0.95 
     1998        1:?        2:N       0.919 
     1999        1:?        1:P       0.638 
     2000        1:?        2:N       0.969 
     2001        1:?        2:N       0.832 
     2002        1:?        2:N       0.796 
     2003        1:?        2:N       0.97 
     2004        1:?        1:P       0.704 
     2005        1:?        2:N       0.818 
     2006        1:?        2:N       0.965 
     2007        1:?        2:N       0.945 
     2008        1:?        2:N       0.964 
     2009        1:?        2:N       0.614 
     2010        1:?        2:N       0.833 
     2011        1:?        2:N       0.925 
     2012        1:?        2:N       0.959 
     2013        1:?        1:P       0.946 
     2014        1:?        2:N       0.729 
     2015        1:?        2:N       0.972 
     2016        1:?        2:N       0.969 
     2017        1:?        2:N       0.797 
     2018        1:?        2:N       0.719 
     2019        1:?        2:N       0.963 
     2020        1:?        2:N       0.837 
     2021        1:?        2:N       0.964 
     2022        1:?        1:P       0.973 
     2023        1:?        2:N       0.971 
     2024        1:?        2:N       0.998 
     2025        1:?        2:N       0.825 
     2026        1:?        2:N       0.915 
     2027        1:?        2:N       0.507 
     2028        1:?        2:N       0.947 
     2029        1:?        2:N       0.901 
     2030        1:?        2:N       0.805 
     2031        1:?        1:P       0.52 
     2032        1:?        2:N       0.962 
     2033        1:?        2:N       0.963 
     2034        1:?        2:N       0.967 
     2035        1:?        2:N       0.911 
     2036        1:?        1:P       0.913 
     2037        1:?        1:P       0.661 
     2038        1:?        2:N       0.983 
     2039        1:?        2:N       0.928 
     2040        1:?        2:N       0.726 
     2041        1:?        2:N       0.847 
     2042        1:?        1:P       0.861 
     2043        1:?        2:N       0.832 
     2044        1:?        1:P       0.742 
     2045        1:?        2:N       0.814 
     2046        1:?        1:P       0.751 
     2047        1:?        2:N       0.563 
     2048        1:?        2:N       0.988 
     2049        1:?        1:P       0.87 
     2050        1:?        2:N       0.937 
     2051        1:?        2:N       0.622 
     2052        1:?        2:N       0.99 
     2053        1:?        2:N       0.725 
     2054        1:?        2:N       0.993 
     2055        1:?        2:N       0.958 
     2056        1:?        2:N       0.988 
     2057        1:?        1:P       0.57 
     2058        1:?        2:N       0.917 
     2059        1:?        1:P       0.936 
     2060        1:?        2:N       0.875 
     2061        1:?        2:N       0.883 
     2062        1:?        2:N       0.851 
     2063        1:?        2:N       0.872 
     2064        1:?        2:N       0.953 
     2065        1:?        2:N       0.516 
     2066        1:?        2:N       0.842 
     2067        1:?        2:N       0.823 
     2068        1:?        2:N       0.968 
     2069        1:?        2:N       0.983 
     2070        1:?        1:P       0.967 
     2071        1:?        1:P       0.585 
     2072        1:?        1:P       0.634 
     2073        1:?        2:N       0.863 
     2074        1:?        1:P       0.521 
     2075        1:?        2:N       0.992 
     2076        1:?        2:N       0.921 
     2077        1:?        2:N       0.758 
     2078        1:?        1:P       0.979 
     2079        1:?        2:N       0.944 
     2080        1:?        2:N       0.883 
     2081        1:?        2:N       0.938 
     2082        1:?        2:N       0.995 
     2083        1:?        2:N       0.962 
     2084        1:?        2:N       0.973 
     2085        1:?        2:N       0.826 
     2086        1:?        2:N       0.829 
     2087        1:?        2:N       0.948 
     2088        1:?        2:N       0.858 
     2089        1:?        2:N       0.88 
     2090        1:?        2:N       0.91 
     2091        1:?        1:P       0.655 
     2092        1:?        2:N       0.977 
     2093        1:?        2:N       0.881 
     2094        1:?        1:P       0.51 
     2095        1:?        2:N       0.994 
     2096        1:?        2:N       0.741 
     2097        1:?        2:N       0.972 
     2098        1:?        2:N       0.949 
     2099        1:?        2:N       0.81 
     2100        1:?        2:N       0.928 
     2101        1:?        2:N       0.943 
     2102        1:?        2:N       0.742 
     2103        1:?        1:P       0.802 
     2104        1:?        2:N       0.809 
     2105        1:?        2:N       0.996 
     2106        1:?        2:N       0.987 
     2107        1:?        2:N       0.993 
     2108        1:?        2:N       0.97 
     2109        1:?        2:N       0.988 
     2110        1:?        2:N       0.967 
     2111        1:?        2:N       0.995 
     2112        1:?        2:N       0.551 
     2113        1:?        2:N       0.604 
     2114        1:?        2:N       0.965 
     2115        1:?        2:N       0.99 
     2116        1:?        2:N       0.985 
